h	V	C	R	G	B
5R	7	14	255	124	122
7.5R	7	2	193	171	167
7.5R	7	4	211	165	156
7.5R	7	6	226	159	146
7.5R	7	8	243	152	135
7.5R	7	10	255	145	124
7.5R	7	12	255	136	112
7.5R	7	14	255	127	100
7.5R	7	16	255	116	87
10R	7	2	193	171	164
10R	7	4	211	165	151
10R	7	6	227	160	137
10R	7	8	242	153	123
10R	7	10	254	147	109
10R	7	12	255	140	91
10R	7	14	255	132	73
10R	7	16	255	124	49
2.5YR	7	2	193	171	161
2.5YR	7	4	210	166	145
2.5YR	7	6	225	161	128
2.5YR	7	8	239	156	112
2.5YR	7	10	250	150	95
2.5YR	7	12	255	145	72
2.5YR	7	14	255	139	44
5YR	7	2	193	171	158
5YR	7	4	208	167	139
5YR	7	6	222	163	120
5YR	7	8	233	159	101
5YR	7	10	243	155	79
5YR	7	12	253	151	52
7.5YR	7	2	192	172	155
7.5YR	7	4	206	169	134
7.5YR	7	6	218	166	113
7.5YR	7	8	227	163	91
7.5YR	7	10	236	160	66
7.5YR	7	12	243	157	28
10YR	7	2	190	173	151
10YR	7	4	202	171	128
10YR	7	6	212	169	105
10YR	7	8	220	166	80
10YR	7	10	227	164	51
2.5Y	7	2	187	174	149
2.5Y	7	4	197	173	125
2.5Y	7	6	205	171	99
2.5Y	7	8	212	170	72
2.5Y	7	10	217	169	35
5Y	7	2	184	175	148
5Y	7	4	190	175	121
5Y	7	6	197	175	94
5Y	7	8	202	174	65
5Y	7	10	206	174	15
7.5Y	7	2	181	176	147
7.5Y	7	4	186	177	120
7.5Y	7	6	190	177	93
7.5Y	7	8	193	177	61
10Y	7	2	179	177	147
10Y	7	4	181	178	121
10Y	7	6	183	179	93
10Y	7	8	185	180	61
2.5GY	7	2	175	178	148
2.5GY	7	4	174	180	123
2.5GY	7	6	174	182	98
2.5GY	7	8	173	183	67
2.5GY	7	10	172	185	11
5GY	7	2	172	179	150
5GY	7	4	168	182	127
5GY	7	6	164	184	104
5GY	7	8	160	186	77
5GY	7	10	156	188	39
7.5GY	7	2	166	180	155
7.5GY	7	4	157	184	136
7.5GY	7	6	149	187	117
7.5GY	7	8	140	190	96
7.5GY	7	10	129	193	70
7.5GY	7	12	118	196	37
10GY	7	2	161	181	159
10GY	7	4	149	185	143
10GY	7	6	136	189	129
10GY	7	8	121	193	113
10GY	7	10	103	196	96
10GY	7	12	81	200	77
10GY	7	14	51	202	55
2.5G	7	2	157	182	163
2.5G	7	4	140	186	153
2.5G	7	6	122	191	143
2.5G	7	8	99	195	133
2.5G	7	10	67	199	122
5G	7	2	155	182	167
5G	7	4	135	187	160
5G	7	6	113	191	153
5G	7	8	84	196	148
5G	7	10	25	200	142
7.5G	7	2	154	182	169
7.5G	7	4	132	187	164
7.5G	7	6	108	191	160
7.5G	7	8	74	196	156
10G	7	2	153	182	172
10G	7	4	130	187	169
10G	7	6	103	192	166
10G	7	8	64	196	164
2.5BG	7	2	152	182	173
2.5BG	7	4	128	187	173
2.5BG	7	6	100	191	172
2.5BG	7	8	54	196	172
5BG	7	2	151	182	176
5BG	7	4	126	187	178
5BG	7	6	97	191	180
5BG	7	8	41	196	182
7.5BG	7	2	152	181	179
7.5BG	7	4	125	186	183
7.5BG	7	6	95	191	187
7.5BG	7	8	34	195	192
10BG	7	2	153	181	182
10BG	7	4	126	186	188
10BG	7	6	95	190	195
10BG	7	8	29	194	202
2.5B	7	2	154	180	183
2.5B	7	4	128	185	192
2.5B	7	6	98	189	201
2.5B	7	8	40	192	211
5B	7	2	157	179	185
5B	7	4	133	183	196
5B	7	6	104	187	207
5B	7	8	60	190	219
7.5B	7	2	160	179	186
7.5B	7	4	138	182	198
7.5B	7	6	114	185	211
7.5B	7	8	79	188	225
10B	7	2	163	178	186
10B	7	4	146	180	200
10B	7	6	126	183	214
10B	7	8	99	185	228
10B	7	10	53	187	244
2.5PB	7	2	166	177	187
2.5PB	7	4	153	178	201
2.5PB	7	6	139	180	216
2.5PB	7	8	120	181	231
2.5PB	7	10	94	183	248
5PB	7	2	169	176	187
5PB	7	4	160	177	201
5PB	7	6	149	177	216
5PB	7	8	137	178	232
5PB	7	10	120	178	249
7.5PB	7	2	172	175	187
7.5PB	7	4	168	174	201
7.5PB	7	6	163	174	217
7.5PB	7	8	158	173	232
7.5PB	7	10	152	171	249
10PB	7	2	175	174	186
10PB	7	4	174	173	201
10PB	7	6	174	171	215
10PB	7	8	173	169	229
10PB	7	10	173	166	245
10PB	7	12	173	163	255
2.5P	7	2	177	174	186
2.5P	7	4	180	171	199
2.5P	7	6	183	168	211
2.5P	7	8	186	165	224
2.5P	7	10	190	161	238
2.5P	7	12	194	157	251
5P	7	2	180	173	185
5P	7	4	185	170	196
5P	7	6	190	166	207
5P	7	8	196	163	219
5P	7	10	202	158	231
5P	7	12	208	153	242
5P	7	14	215	148	253
7.5P	7	2	183	172	182
7.5P	7	4	192	168	191
7.5P	7	6	200	164	200
7.5P	7	8	209	159	209
7.5P	7	10	218	153	219
7.5P	7	12	226	147	227
7.5P	7	14	235	140	237
7.5P	7	16	244	133	246
7.5P	7	18	253	124	255
10P	7	2	185	172	180
10P	7	4	196	167	187
10P	7	6	207	162	194
10P	7	8	218	156	201
10P	7	10	228	150	209
10P	7	12	237	144	215
10P	7	14	248	136	223
10P	7	16	255	126	231
10P	7	18	255	116	238
10P	7	20	255	104	246
10P	7	22	255	88	255
2.5RP	7	2	186	172	178
2.5RP	7	4	199	166	182
2.5RP	7	6	213	160	187
2.5RP	7	8	225	154	192
2.5RP	7	10	236	147	196
2.5RP	7	12	248	140	202
2.5RP	7	14	255	131	206
2.5RP	7	16	255	120	212
2.5RP	7	18	255	107	218
2.5RP	7	20	255	91	224
5RP	7	2	188	171	176
5RP	7	4	202	166	177
5RP	7	6	218	159	179
5RP	7	8	232	152	180
5RP	7	10	244	145	182
5RP	7	12	255	136	184
5RP	7	14	255	126	186
5RP	7	16	255	114	189
5RP	7	18	255	100	192
7.5RP	7	2	189	171	174
7.5RP	7	4	204	166	173
7.5RP	7	6	220	159	172
7.5RP	7	8	235	152	172
7.5RP	7	10	248	144	171
7.5RP	7	12	255	135	171
7.5RP	7	14	255	124	171
7.5RP	7	16	255	111	172
10RP	8	2	215	198	200
10RP	8	4	234	192	195
10RP	8	6	251	185	192
10RP	8	8	255	177	188
10RP	8	10	255	169	184
2.5R	8	2	215	198	198
2.5R	8	4	236	192	191
2.5R	8	6	253	185	185
2.5R	8	8	255	177	179
2.5R	8	10	255	169	173
5R	8	2	216	198	196
5R	8	4	237	192	187
5R	8	6	254	185	179
5R	8	8	255	177	170
5R	8	10	255	169	161
7.5R	8	2	217	198	194
7.5R	8	4	239	191	182
7.5R	8	6	255	185	171
7.5R	8	8	255	178	158
7.5R	8	10	255	170	146
10R	8	2	218	198	192
10R	8	4	239	192	176
10R	8	6	255	186	161
10R	8	8	255	179	146
10R	8	10	255	173	131
2.5YR	8	2	219	198	189
2.5YR	8	4	239	193	170
2.5YR	8	6	254	188	153
2.5YR	8	8	255	182	135
2.5YR	8	10	255	177	116
2.5YR	8	12	255	171	95
5YR	8	2	219	198	184
5YR	8	4	236	194	164
5YR	8	6	250	190	145
5YR	8	8	255	186	123
5YR	8	10	255	182	102
5YR	8	12	255	178	77
5YR	8	14	255	174	43
7.5YR	8	2	218	199	181
7.5YR	8	4	233	196	159
7.5YR	8	6	246	192	138
7.5YR	8	8	255	189	114
7.5YR	8	10	255	186	90
7.5YR	8	12	255	183	60
10YR	8	2	216	200	177
10YR	8	4	228	198	154
10YR	8	6	239	196	130
10YR	8	8	248	193	104
10YR	8	10	255	191	77
10YR	8	12	255	189	40
2.5Y	8	2	214	201	174
2.5Y	8	4	223	200	150
2.5Y	8	6	232	199	124
2.5Y	8	8	239	197	97
2.5Y	8	10	246	196	66
2.5Y	8	12	251	195	10
5Y	8	2	211	202	172
5Y	8	4	217	202	146
5Y	8	6	223	202	119
5Y	8	8	228	202	90
5Y	8	10	233	201	54
7.5Y	8	2	208	203	172
7.5Y	8	4	213	204	145
7.5Y	8	6	217	204	117
7.5Y	8	8	220	205	86
7.5Y	8	10	223	205	48
10Y	8	2	206	204	171
10Y	8	4	208	205	145
10Y	8	6	210	206	117
10Y	8	8	212	207	86
10Y	8	10	214	208	47
2.5GY	8	2	203	205	172
2.5GY	8	4	202	207	147
2.5GY	8	6	201	209	120
2.5GY	8	8	200	211	92
2.5GY	8	10	199	212	53
5GY	8	2	199	206	174
5GY	8	4	196	208	151
5GY	8	6	192	211	126
5GY	8	8	188	213	100
5GY	8	10	184	216	68
7.5GY	8	2	192	207	179
7.5GY	8	4	183	211	159
7.5GY	8	6	175	215	139
7.5GY	8	8	166	218	117
7.5GY	8	10	156	221	94
7.5GY	8	12	146	224	63
10GY	8	2	187	208	183
10GY	8	4	174	213	168
10GY	8	6	160	217	151
10GY	8	8	146	221	136
10GY	8	10	129	224	118
10GY	8	12	110	228	99
10GY	8	14	85	231	79
10GY	8	16	47	234	54
2.5G	8	2	183	209	189
2.5G	8	4	166	214	178
2.5G	8	6	145	219	166
2.5G	8	8	124	223	156
2.5G	8	10	98	227	145
2.5G	8	12	53	231	134
5G	8	2	180	209	192
5G	8	4	160	214	185
5G	8	6	135	220	178
5G	8	8	107	224	171
5G	8	10	67	228	166
7.5G	8	2	179	209	195
7.5G	8	4	157	214	190
7.5G	8	6	130	220	185
7.5G	8	8	100	224	181
7.5G	8	10	47	228	177
10G	8	2	178	209	198
10G	8	4	155	215	194
10G	8	6	126	220	192
10G	8	8	92	224	189
10G	8	10	20	228	187
2.5BG	8	2	177	209	200
2.5BG	8	4	152	215	198
2.5BG	8	6	124	219	198
2.5BG	8	8	85	224	197
5BG	8	2	177	209	203
5BG	8	4	151	214	204
5BG	8	6	121	219	205
5BG	8	8	75	224	208
7.5BG	8	2	178	208	206
7.5BG	8	4	151	214	209
7.5BG	8	6	117	219	214
7.5BG	8	8	69	223	218
10BG	8	2	179	208	208
10BG	8	4	151	213	214
10BG	8	6	118	218	221
10BG	8	8	66	222	228
2.5B	8	2	181	207	210
2.5B	8	4	153	212	219
2.5B	8	6	120	217	228
2.5B	8	8	69	221	238
5B	8	2	184	206	211
5B	8	4	158	211	223
5B	8	6	128	215	235
5B	8	8	80	219	249
7.5B	8	2	187	205	212
7.5B	8	4	164	209	225
7.5B	8	6	137	213	239
7.5B	8	8	96	216	255
10B	8	2	190	204	212
10B	8	4	171	207	228
10B	8	6	149	210	243
10B	8	8	117	213	255
2.5PB	8	2	193	203	213
2.5PB	8	4	179	205	229
2.5PB	8	6	162	207	245
5PB	8	2	196	203	213
5PB	8	4	186	204	229
5PB	8	6	173	204	247
7.5PB	8	2	199	202	213
7.5PB	8	4	194	201	229
7.5PB	8	6	188	201	246
10PB	8	2	202	201	212
10PB	8	4	201	200	227
10PB	8	6	200	197	244
10PB	8	8	199	195	255
2.5P	8	2	204	201	211
2.5P	8	4	206	198	226
2.5P	8	6	209	195	240
2.5P	8	8	212	192	255
5P	8	2	205	200	210
5P	8	4	211	197	223
5P	8	6	216	193	236
5P	8	8	223	189	249
5P	8	10	229	184	255
7.5P	8	2	208	199	208
7.5P	8	4	219	195	217
7.5P	8	6	227	191	226
7.5P	8	8	238	184	237
7.5P	8	10	248	179	247
7.5P	8	12	255	172	255
10P	8	2	210	199	206
10P	8	4	222	194	213
10P	8	6	234	189	221
10P	8	8	247	182	229
10P	8	10	255	176	236
10P	8	12	255	169	244
10P	8	14	255	160	253
2.5RP	8	2	211	199	204
2.5RP	8	4	226	193	209
2.5RP	8	6	241	187	213
2.5RP	8	8	255	180	218
2.5RP	8	10	255	173	223
2.5RP	8	12	255	164	228
2.5RP	8	14	255	155	234
5RP	8	2	213	199	203
5RP	8	4	229	193	203
5RP	8	6	246	186	205
5RP	8	8	255	178	206
5RP	8	10	255	171	208
5RP	8	12	255	160	210
7.5RP	8	2	214	198	201
7.5RP	8	4	232	192	199
7.5RP	8	6	249	185	198
7.5RP	8	8	255	177	198
7.5RP	8	10	255	169	197
7.5RP	8	12	255	159	197
10RP	9	2	242	226	227
10RP	9	4	255	219	222
10RP	9	6	255	211	217
2.5R	9	2	242	226	226
2.5R	9	4	255	218	218
2.5R	9	6	255	211	210
5R	9	2	244	226	223
5R	9	4	255	218	213
5R	9	6	255	211	203
7.5R	9	2	245	225	221
7.5R	9	4	255	218	207
7.5R	9	6	255	211	194
10R	9	2	245	225	219
10R	9	4	255	218	201
10R	9	6	255	212	185
2.5YR	9	2	247	225	215
2.5YR	9	4	255	219	194
2.5YR	9	6	255	214	175
5YR	9	2	247	226	210
5YR	9	4	255	221	187
5YR	9	6	255	217	167
7.5YR	9	2	246	226	206
7.5YR	9	4	255	223	182
7.5YR	9	6	255	220	159
7.5YR	9	8	255	217	136
10YR	9	2	244	227	202
10YR	9	4	255	225	176
10YR	9	6	255	223	152
10YR	9	8	255	221	126
2.5Y	9	2	241	229	199
2.5Y	9	4	251	228	172
2.5Y	9	6	255	226	146
2.5Y	9	8	255	225	119
2.5Y	9	10	255	224	90
2.5Y	9	12	255	222	52
5Y	9	2	238	230	197
5Y	9	4	245	230	169
5Y	9	6	251	230	141
5Y	9	8	255	230	112
5Y	9	10	255	229	80
5Y	9	12	255	229	29
7.5Y	9	2	236	231	196
7.5Y	9	4	240	232	168
7.5Y	9	6	244	232	140
7.5Y	9	8	248	232	109
7.5Y	9	10	251	233	76
7.5Y	9	12	254	233	12
10Y	9	2	233	231	196
10Y	9	4	236	233	168
10Y	9	6	238	234	140
10Y	9	8	240	235	108
10Y	9	10	242	236	74
2.5GY	9	2	230	232	197
2.5GY	9	4	230	235	169
2.5GY	9	6	229	237	142
2.5GY	9	8	228	238	111
2.5GY	9	10	227	240	78
2.5GY	9	12	226	241	13
5GY	9	2	227	233	198
5GY	9	4	224	236	172
5GY	9	6	220	239	146
5GY	9	8	216	242	118
5GY	9	10	212	244	87
5GY	9	12	208	246	41
7.5GY	9	2	219	235	203
7.5GY	9	4	210	239	182
7.5GY	9	6	201	243	159
7.5GY	9	8	192	246	136
7.5GY	9	10	182	250	111
7.5GY	9	12	172	252	83
7.5GY	9	14	161	255	44
10GY	9	2	213	236	209
10GY	9	4	200	241	191
10GY	9	6	183	246	172
10GY	9	8	169	250	156
10GY	9	10	152	254	137
10GY	9	12	134	255	120
10GY	9	14	111	255	99
10GY	9	16	80	255	75
10GY	9	18	16	255	41
2.5G	9	2	208	237	214
2.5G	9	4	190	242	202
2.5G	9	6	167	248	188
2.5G	9	8	145	252	177
2.5G	9	10	118	255	166
2.5G	9	12	84	255	155
5G	9	2	206	237	218
5G	9	4	184	243	210
5G	9	6	156	249	202
5G	9	8	126	254	195
5G	9	10	89	255	189
7.5G	9	2	204	237	222
7.5G	9	4	180	243	216
7.5G	9	6	150	249	210
7.5G	9	8	117	254	205
7.5G	9	10	72	255	201
10G	9	2	203	237	224
10G	9	4	178	243	221
10G	9	6	146	249	217
10G	9	8	108	254	214
10G	9	10	51	255	212
2.5BG	9	2	203	237	227
2.5BG	9	4	176	243	225
2.5BG	9	6	142	249	224
2.5BG	9	8	100	254	223
2.5BG	9	10	15	255	223
5BG	9	2	203	237	229
5BG	9	4	174	243	230
5BG	9	6	139	249	232
5BG	9	8	90	254	233
7.5BG	9	2	203	236	233
7.5BG	9	4	174	242	237
7.5BG	9	6	136	248	241
7.5BG	9	8	79	253	246
10BG	9	2	205	236	235
10BG	9	4	174	242	242
10BG	9	6	135	247	249
2.5B	9	2	207	235	237
2.5B	9	4	176	241	248
5B	9	2	210	234	239
5B	9	4	180	239	253
7.5B	9	2	214	233	239
7.5B	9	4	186	238	255
10B	9	2	216	232	240
10B	9	4	192	236	255
2.5PB	9	2	220	231	240
5PB	9	2	223	230	240
7.5PB	9	2	226	229	240
10PB	9	2	229	228	239
10PB	9	4	227	227	255
2.5P	9	2	231	228	239
2.5P	9	4	233	225	255
5P	9	2	232	228	238
5P	9	4	238	224	253
7.5P	9	2	236	227	235
7.5P	9	4	248	222	246
7.5P	9	6	255	216	255
10P	9	2	237	227	233
10P	9	4	252	221	241
10P	9	6	255	215	249
2.5RP	9	2	239	226	232
2.5RP	9	4	255	220	236
2.5RP	9	6	255	213	241
5RP	9	2	240	226	230
5RP	9	4	255	219	231
5RP	9	6	255	212	232
7.5RP	9	2	241	226	228
7.5RP	9	4	255	219	226
7.5RP	9	6	255	211	225
